timestamp,joystick_throttle,joystick_direction,distance_L,distance_C,distance_R
1744232751.795640,-1.0,-0.39,265.2,525.18,136.81
1744232752.3359400,-1.0,0.0,399.48,888.6,135.75
1744232752.8747300,-1.0,0.0,273.91,784.53,145.56
1744232753.3133200,-1.0,0.02,303.84,695.4,157.3
1744232753.8570000,-1.0,0.24,257.64,593.13,1005.25
1744232754.303550,-1.0,0.01,246.56,487.64,1716.43
1744232754.8454500,-1.0,0.0,254.04,373.27,957.78
1744232755.3880000,-1.0,0.06,285.04,296.28,1006.76
1744232755.8411000,-1.0,0.74,388.69,2227.99,975.48
1744232756.3848500,-1.0,0.0,118.5,1572.79,326.54
1744232756.8236100,-1.0,-0.38,150.1,806.2,252.24
1744232757.3657200,-1.0,0.0,190.95,1346.39,228.32
1744232757.8072700,-1.0,-0.01,210.99,1259.78,226.56
1744232758.3492200,-1.0,-0.05,248.19,1143.99,209.6
1744232758.789710,-1.0,-0.11,264.39,1044.63,200.11
1744232759.3298400,-1.0,0.0,311.53,937.5,192.14
1744232759.8699400,-1.0,0.0,398.67,805.92,178.89
1744232760.3086000,-1.0,0.0,350.54,715.68,147.32
1744232760.850140,-1.0,-0.26,397.03,599.76,125.86
1744232761.2954400,-1.0,0.0,406.56,509.88,1445.34
1744232761.8420600,-1.0,0.04,443.44,384.89,1430.9
1744232762.386580,-1.0,0.19,489.56,267.13,1407.39
1744232762.8310000,-1.0,0.9,547.21,220.23,1421.91
1744232763.3779600,-1.0,0.01,146.59,1322.43,1139.82
1744232763.834750,-1.0,-0.45,146.59,1333.83,1062.33
1744232764.3835900,-1.0,-0.23,1549.85,1193.3,159.92
1744232764.8250500,-1.0,0.0,284.1,1104.32,140.49
1744232765.365270,-1.0,0.01,294.36,992.25,134.61
1744232765.806320,-1.0,0.04,299.35,931.2,135.1
1744232766.3460000,-1.0,0.01,314.31,837.69,129.29
1744232767.085850,-1.0,0.04,346.98,686.11,107.25
1744232767.6242600,-1.0,-0.05,372.66,575.63,84.8
1744232768.0633700,-1.0,-0.16,404.31,471.98,312.84
1744232768.6092200,-1.0,0.0,430.93,362.6,1503.15
1744232769.054580,-1.0,0.75,447.32,269.54,1482.34
1744232769.6081900,-1.0,0.01,447.32,1467.83,226.4
1744232770.0474800,-1.0,-0.04,194.47,917.75,205.71
1744232770.5892100,-1.0,-0.46,235.85,1262.52,182.85
1744232771.130440,-1.0,0.0,224.77,1144.23,178.36
1744232771.5712800,-1.0,0.03,211.64,1055.05,194.39
1744232772.1118500,-1.0,0.1,197.86,950.38,209.11
1744232772.550900,-1.0,0.25,185.19,860.1,214.18
1744232773.0902200,-1.0,0.0,202.52,748.06,202.36
